id,question,seconds,answer_len,n_citations,is_refusal,error
q1,What enzyme catalyzes carbon fixation in the Calvin cycle?,11.77,7,3,0,
q2,Where do the light-dependent reactions of photosynthesis take place?,2.90,18,1,0,
q3,What are the three stages of the Calvin cycle?,3.39,37,2,0,
q4,What is a lichen?,8.19,192,2,0,
q5,What role do fungi play in nutrient cycling in ecosystems?,3.12,224,2,0,
q6,How does carbon fixed by RuBisCO in a plant eventually return to the soil through fungal activity?,4.06,282,2,0,
q7,"What is the relationship between Photosystem II, water molecules, and the oxygen released during photosynthesis?",4.82,108,2,0,
q8,What does fixation mean in biology?,9.41,15,3,0,
q9,Which stage of photosynthesis produces ATP but does NOT fix carbon?,3.35,25,2,0,
q10,What is the role of nitrogen-fixing bacteria in the nitrogen cycle?,2.49,43,2,1,
q11,What pigment absorbs light energy during the light-dependent reactions of photosynthesis?,2.54,13,1,0,
q12,What is mycelium?,6.62,17,1,0,
q13,What are the major phyla of the kingdom Fungi covered in the chapter?,4.60,69,2,0,
q14,What is the role of NADPH in photosynthesis?,4.84,146,2,0,
q15,How do fungi obtain nutrients?,2.74,212,2,0,
q16,Which molecule produced by the light-dependent reactions provides the reducing power needed during the reduction stage of the Calvin cycle?,9.62,5,5,0,
q17,Which process in photosynthesis produces oxygen but does NOT directly produce ATP?,2.04,25,1,0,
q18,What carbon-containing molecule produced by plants via the Calvin cycle becomes the energy source for symbiotic mycorrhizal fungi?,3.77,13,2,0,
q19,What does 'reduction' mean in the context of the Calvin cycle?,9.56,46,1,0,
q20,What is the function of mitochondria in eukaryotic cells?,4.58,36,1,0,
q21,What is the primary function of DNA?,1.75,11,1,0,
q22,What is the primary function of RNA?,2.23,19,2,0,
q23,What is CRISPR?,3.93,43,2,1,
q24,How does protein synthesis work?,3.68,353,3,0,
q25,What is a genome?,3.61,43,2,1,
q26,How does RNA regulate gene expression?,2.43,0,0,0,"1 validation error for QAResponse reasoning   Field required [type=missing, input_value={'question': 'How does RN... the provided context.""}, input_type=dict]     For further information visit https:/"
q27,What are the differences between the codons in DNA and RNA?,2.55,66,1,0,
q28,Why is RNA only a single helix?,1.73,43,2,1,
q29,What is genetics?,10.26,132,3,0,
q30,How does CRISPR work?,3.86,43,2,1,
q31,What role does DNA polymerase play in DNA replication?,3.14,113,2,0,
q32,What is the function of the ribosome?,2.63,33,1,0,
q33,What is a plasmid?,2.94,72,1,0,
q34,What does telomerase do?,4.19,53,2,0,
q35,What is the role of tRNA in translation?,2.30,237,2,0,
q36,How do prokaryotic and eukaryotic DNA replication differ?,5.56,314,2,0,
q37,Why do mutations in DNA polymerase proofreading lead to cancer?,2.71,58,2,0,
q38,"Explain the relationship between introns, exons, and alternative splicing in eukaryotic gene expression.",16.20,471,6,0,
q39,What experimental evidence proved that DNA is the genetic material rather than protein?,12.97,344,2,0,
q40,How does the wobble hypothesis explain codon degeneracy?,3.51,43,2,1,
