id,question,seconds,answer_len,n_citations,is_refusal,error
q1,What enzyme catalyzes carbon fixation in the Calvin cycle?,15.23,7,4,0,
q2,Where do the light-dependent reactions of photosynthesis take place?,4.13,18,1,0,
q3,What are the three stages of the Calvin cycle?,3.64,37,2,0,
q4,What is a lichen?,3.80,191,2,0,
q5,What role do fungi play in nutrient cycling in ecosystems?,10.32,220,2,0,
q6,How does carbon fixed by RuBisCO in a plant eventually return to the soil through fungal activity?,9.46,157,2,0,
q7,"What is the relationship between Photosystem II, water molecules, and the oxygen released during photosynthesis?",5.16,108,2,0,
q8,What does fixation mean in biology?,8.45,215,2,0,
q9,Which stage of photosynthesis produces ATP but does NOT fix carbon?,8.30,25,2,0,
q10,What is the role of nitrogen-fixing bacteria in the nitrogen cycle?,3.75,53,1,0,
q11,What pigment absorbs light energy during the light-dependent reactions of photosynthesis?,4.42,11,2,0,
q12,What is mycelium?,4.02,16,1,0,
q13,What are the major phyla of the kingdom Fungi covered in the chapter?,4.12,69,2,0,
q14,What is the role of NADPH in photosynthesis?,3.06,127,2,0,
q15,How do fungi obtain nutrients?,7.61,212,2,0,
q16,Which molecule produced by the light-dependent reactions provides the reducing power needed during the reduction stage of the Calvin cycle?,3.71,5,3,0,
q17,Which process in photosynthesis produces oxygen but does NOT directly produce ATP?,1.94,25,1,0,
q18,What carbon-containing molecule produced by plants via the Calvin cycle becomes the energy source for symbiotic mycorrhizal fungi?,2.81,13,2,0,
q19,What does 'reduction' mean in the context of the Calvin cycle?,3.93,65,1,0,
q20,What is the function of mitochondria in eukaryotic cells?,1.47,36,1,0,
q21,What is the primary function of DNA?,1.14,11,1,0,
q22,What is the primary function of RNA?,1.69,19,2,0,
q23,What is CRISPR?,2.07,43,2,1,
q24,How does protein synthesis work?,2.74,266,4,0,
q25,What is a genome?,1.35,43,2,1,
q26,How does RNA regulate gene expression?,2.17,90,2,0,
q27,What are the differences between the codons in DNA and RNA?,1.54,66,1,0,
q28,Why is RNA only a single helix?,0.95,43,2,1,
q29,What is genetics?,1.99,155,3,0,
q30,How does CRISPR work?,1.30,43,2,1,
q31,What role does DNA polymerase play in DNA replication?,1.87,113,2,0,
q32,What is the function of the ribosome?,2.04,66,2,0,
q33,What is a plasmid?,4.06,247,1,0,
q34,What does telomerase do?,2.55,97,2,0,
q35,What is the role of tRNA in translation?,3.47,258,3,0,
q36,How do prokaryotic and eukaryotic DNA replication differ?,3.08,196,2,0,
q37,Why do mutations in DNA polymerase proofreading lead to cancer?,3.22,191,2,0,
q38,"Explain the relationship between introns, exons, and alternative splicing in eukaryotic gene expression.",4.55,476,6,0,
q39,What experimental evidence proved that DNA is the genetic material rather than protein?,10.93,344,2,0,
q40,How does the wobble hypothesis explain codon degeneracy?,1.56,43,2,1,
