id,question,seconds,answer_len,n_citations,is_refusal,error
q1,What enzyme catalyzes carbon fixation in the Calvin cycle?,12.79,7,1,0,
q2,Where do the light-dependent reactions of photosynthesis take place?,12.54,18,1,0,
q3,What are the three stages of the Calvin cycle?,13.21,37,1,0,
q4,What is a lichen?,14.51,254,1,0,
q5,What role do fungi play in nutrient cycling in ecosystems?,26.79,287,3,0,
q6,How does carbon fixed by RuBisCO in a plant eventually return to the soil through fungal activity?,16.30,219,2,0,
q7,"What is the relationship between Photosystem II, water molecules, and the oxygen released during photosynthesis?",26.91,110,4,0,
q8,What does fixation mean in biology?,18.00,151,4,0,
q9,Which stage of photosynthesis produces ATP but does NOT fix carbon?,13.10,25,1,0,
q10,What is the role of nitrogen-fixing bacteria in the nitrogen cycle?,18.18,43,2,1,
q11,What pigment absorbs light energy during the light-dependent reactions of photosynthesis?,12.87,11,2,0,
q12,What is mycelium?,13.33,304,1,0,
q13,What are the major phyla of the kingdom Fungi covered in the chapter?,14.25,69,1,0,
q14,What is the role of NADPH in photosynthesis?,15.98,174,3,0,
q15,How do fungi obtain nutrients?,21.51,153,2,0,
q16,Which molecule produced by the light-dependent reactions provides the reducing power needed during the reduction stage of the Calvin cycle?,12.41,5,1,0,
q17,Which process in photosynthesis produces oxygen but does NOT directly produce ATP?,12.38,14,1,0,
q18,What carbon-containing molecule produced by plants via the Calvin cycle becomes the energy source for symbiotic mycorrhizal fungi?,21.27,13,3,0,
q19,What does 'reduction' mean in the context of the Calvin cycle?,21.69,149,1,0,
q20,What is the function of mitochondria in eukaryotic cells?,15.12,36,1,0,
q21,What is the primary function of DNA?,16.59,212,2,0,
q22,What is the primary function of RNA?,21.43,178,3,0,
q23,What is CRISPR?,6.73,43,2,1,
q24,How does protein synthesis work?,19.84,392,2,0,
q25,What is a genome?,12.80,187,2,0,
q26,How does RNA regulate gene expression?,14.53,308,2,0,
q27,What are the differences between the codons in DNA and RNA?,13.94,225,1,0,
q28,Why is RNA only a single helix?,6.33,43,2,1,
q29,What is genetics?,15.37,186,3,0,
q30,How does CRISPR work?,6.34,43,2,1,
q31,What role does DNA polymerase play in DNA replication?,23.36,236,6,0,
q32,What is the function of the ribosome?,6.78,66,1,0,
q33,What is a plasmid?,10.54,252,1,0,
q34,What does telomerase do?,11.40,161,3,0,
q35,What is the role of tRNA in translation?,16.39,160,4,0,
q36,How do prokaryotic and eukaryotic DNA replication differ?,17.83,529,1,0,
q37,Why do mutations in DNA polymerase proofreading lead to cancer?,15.57,195,3,0,
q38,"Explain the relationship between introns, exons, and alternative splicing in eukaryotic gene expression.",18.47,450,4,0,
q39,What experimental evidence proved that DNA is the genetic material rather than protein?,22.47,342,4,0,
q40,How does the wobble hypothesis explain codon degeneracy?,6.70,43,2,1,
