id,question,seconds,answer_len,n_citations,is_refusal,error
q1,What enzyme catalyzes carbon fixation in the Calvin cycle?,9.30,7,2,0,
q2,Where do the light-dependent reactions of photosynthesis take place?,16.63,18,2,0,
q3,What are the three stages of the Calvin cycle?,5.93,37,1,0,
q4,What is a lichen?,12.35,178,2,0,
q5,What role do fungi play in nutrient cycling in ecosystems?,9.96,262,2,0,
q6,How does carbon fixed by RuBisCO in a plant eventually return to the soil through fungal activity?,3.51,197,2,0,
q7,"What is the relationship between Photosystem II, water molecules, and the oxygen released during photosynthesis?",7.87,165,1,0,
q8,What does fixation mean in biology?,9.22,280,1,0,
q9,Which stage of photosynthesis produces ATP but does NOT fix carbon?,4.32,25,1,0,
q10,What is the role of nitrogen-fixing bacteria in the nitrogen cycle?,18.51,386,2,0,
q11,What pigment absorbs light energy during the light-dependent reactions of photosynthesis?,4.65,11,2,0,
q12,What is mycelium?,4.56,27,2,0,
q13,What are the major phyla of the kingdom Fungi covered in the chapter?,6.26,69,1,0,
q14,What is the role of NADPH in photosynthesis?,13.42,176,2,0,
q15,How do fungi obtain nutrients?,10.94,67,2,0,
q16,Which molecule produced by the light-dependent reactions provides the reducing power needed during the reduction stage of the Calvin cycle?,9.26,5,3,0,
q17,Which process in photosynthesis produces oxygen but does NOT directly produce ATP?,4.62,14,2,0,
q18,What carbon-containing molecule produced by plants via the Calvin cycle becomes the energy source for symbiotic mycorrhizal fungi?,10.98,13,2,0,
q19,What does 'reduction' mean in the context of the Calvin cycle?,9.36,18,2,0,
q20,What is the function of mitochondria in eukaryotic cells?,2.40,36,2,0,
q21,What is the primary function of DNA?,7.52,48,1,0,
q22,What is the primary function of RNA?,3.10,95,2,0,
q23,What is CRISPR?,1.85,43,2,1,
q24,How does protein synthesis work?,10.02,299,2,0,
q25,What is a genome?,2.71,154,2,0,
q26,How does RNA regulate gene expression?,7.69,252,2,0,
q27,What are the differences between the codons in DNA and RNA?,12.48,147,2,0,
q28,Why is RNA only a single helix?,3.57,288,2,0,
q29,What is genetics?,7.45,86,1,0,
q30,How does CRISPR work?,3.03,43,2,1,
q31,What role does DNA polymerase play in DNA replication?,7.93,114,1,0,
q32,What is the function of the ribosome?,14.17,42,2,0,
q33,What is a plasmid?,7.68,7,2,0,
q34,What does telomerase do?,6.31,144,6,0,
q35,What is the role of tRNA in translation?,6.98,142,1,0,
q36,How do prokaryotic and eukaryotic DNA replication differ?,11.97,378,2,0,
q37,Why do mutations in DNA polymerase proofreading lead to cancer?,18.52,405,1,0,
q38,"Explain the relationship between introns, exons, and alternative splicing in eukaryotic gene expression.",15.20,698,2,0,
q39,What experimental evidence proved that DNA is the genetic material rather than protein?,5.93,274,2,0,
q40,How does the wobble hypothesis explain codon degeneracy?,16.13,175,2,0,
