id,question,seconds,answer_len,n_citations,is_refusal,error
q1,What enzyme catalyzes carbon fixation in the Calvin cycle?,3.19,7,2,0,
q2,Where do the light-dependent reactions of photosynthesis take place?,2.95,18,2,0,
q3,What are the three stages of the Calvin cycle?,3.28,37,2,0,
q4,What is a lichen?,4.72,231,2,0,
q5,What role do fungi play in nutrient cycling in ecosystems?,2.97,51,2,0,
q6,How does carbon fixed by RuBisCO in a plant eventually return to the soil through fungal activity?,3.67,25,2,0,
q7,"What is the relationship between Photosystem II, water molecules, and the oxygen released during photosynthesis?",4.24,88,2,0,
q8,What does fixation mean in biology?,2.58,15,2,0,
q9,Which stage of photosynthesis produces ATP but does NOT fix carbon?,6.29,12,2,0,
q10,What is the role of nitrogen-fixing bacteria in the nitrogen cycle?,5.27,84,1,0,
q11,What pigment absorbs light energy during the light-dependent reactions of photosynthesis?,4.88,13,2,0,
q12,What is mycelium?,5.96,118,2,0,
q13,What are the major phyla of the kingdom Fungi covered in the chapter?,5.25,69,2,0,
q14,What is the role of NADPH in photosynthesis?,7.67,40,2,0,
q15,How do fungi obtain nutrients?,5.05,149,2,0,
q16,Which molecule produced by the light-dependent reactions provides the reducing power needed during the reduction stage of the Calvin cycle?,7.27,5,2,0,
q17,Which process in photosynthesis produces oxygen but does NOT directly produce ATP?,4.57,25,2,0,
q18,What carbon-containing molecule produced by plants via the Calvin cycle becomes the energy source for symbiotic mycorrhizal fungi?,5.38,12,2,0,
q19,What does 'reduction' mean in the context of the Calvin cycle?,8.30,135,2,0,
q20,What is the function of mitochondria in eukaryotic cells?,4.47,36,2,0,
q21,What is the primary function of DNA?,3.13,11,2,0,
q22,What is the primary function of RNA?,5.19,55,2,0,
q23,What is CRISPR?,3.84,6,2,0,
q24,How does protein synthesis work?,5.87,204,2,0,
q25,What is a genome?,5.17,72,2,0,
q26,How does RNA regulate gene expression?,8.97,97,2,0,
q27,What are the differences between the codons in DNA and RNA?,5.25,63,2,0,
q28,Why is RNA only a single helix?,5.33,159,2,0,
q29,What is genetics?,5.57,81,2,0,
q30,How does CRISPR work?,3.77,43,2,1,
q31,What role does DNA polymerase play in DNA replication?,5.71,102,2,0,
q32,What is the function of the ribosome?,6.13,42,2,0,
q33,What is a plasmid?,4.62,7,2,0,
q34,What does telomerase do?,6.40,53,2,0,
q35,What is the role of tRNA in translation?,7.92,161,2,0,
q36,How do prokaryotic and eukaryotic DNA replication differ?,4.98,133,2,0,
q37,Why do mutations in DNA polymerase proofreading lead to cancer?,8.30,222,2,0,
q38,"Explain the relationship between introns, exons, and alternative splicing in eukaryotic gene expression.",11.37,353,2,0,
q39,What experimental evidence proved that DNA is the genetic material rather than protein?,8.02,230,2,0,
q40,How does the wobble hypothesis explain codon degeneracy?,8.15,144,2,0,
